iter	Passed	Remaining
155	382	2070
156	385	2067
157	387	2065
158	389	2059
159	390	2050
160	391	2040
161	393	2034
162	395	2029
163	397	2024
164	399	2020
165	400	2010
166	402	2007
167	404	2001
168	405	1995
169	406	1985
170	407	1976
171	409	1969
172	410	1960
173	411	1954
174	413	1950
175	415	1945
176	416	1938
177	418	1931
178	419	1925
179	421	1919
180	422	1912
181	423	1903
182	424	1895
183	426	1889
184	428	1886
185	430	1881
186	431	1875
187	432	1868
188	434	1863
189	436	1860
190	437	1852
191	438	1845
192	439	1838
193	441	1833
194	442	1827
195	444	1823
196	445	1816
197	446	1810
198	448	1805
199	450	1801
200	452	1799
201	453	1791
202	454	1784
203	455	1776
204	456	1769
205	457	1762
206	458	1756
207	459	1750
208	460	1742
209	461	1735
210	462	1729
211	463	1723
212	464	1717
213	466	1712
214	467	1707
215	468	1700
216	469	1692
217	470	1686
218	471	1680
219	472	1674
220	473	1670
221	475	1665
222	476	1659
223	477	1653
224	478	1647
225	479	1642
226	480	1637
227	482	1632
228	483	1626
229	484	1620
230	485	1614
231	486	1609
232	487	1605
233	489	1602
234	490	1595
235	491	1590
236	492	1586
237	494	1583
238	496	1580
239	497	1575
240	498	1570
241	499	1565
242	500	1559
243	501	1554
244	503	1550
245	504	1546
246	505	1540
247	506	1535
248	507	1530
249	508	1526
250	515	1539
251	516	1533
252	518	1531
253	520	1527
254	522	1526
255	524	1525
256	526	1523
257	528	1519
258	530	1517
259	531	1513
260	532	1508
261	534	1505
262	535	1500
263	537	1498
264	539	1495
265	540	1492
266	541	1487
267	542	1482
268	544	1480
269	546	1477
270	547	1473
271	548	1468
272	549	1463
273	550	1459
274	552	1457
275	554	1455
276	555	1450
277	556	1445
278	558	1442
279	559	1439
280	561	1437
281	562	1433
282	563	1428
283	564	1423
284	566	1420
285	567	1417
286	569	1415
287	570	1411
288	572	1407
289	573	1405
290	575	1402
291	594	1441
292	597	1441
293	599	1439
294	601	1438
295	604	1436
296	606	1435
297	608	1434
298	611	1433
299	613	1432
300	616	1430
301	618	1428
302	620	1427
303	622	1426
304	625	1424
305	627	1422
306	628	1419
307	630	1417
308	633	1416
309	636	1415
310	638	1414
311	640	1412
312	642	1409
313	643	1406
314	646	1405
315	648	1403
316	650	1401
317	652	1400
318	655	1398
319	657	1396
320	658	1393
321	660	1391
322	663	1389
323	665	1388
324	667	1386
325	669	1384
326	672	1383
327	673	1380
328	675	1378
329	678	1376
330	680	1375
331	682	1373
332	684	1371
333	687	1370
334	689	1368
335	691	1367
336	693	1365
337	696	1363
338	698	1362
339	700	1360
340	703	1358
341	704	1355
342	706	1353
343	708	1351
344	711	1349
345	713	1348
346	715	1346
347	717	1345
348	719	1342
349	721	1340
350	724	1338
351	726	1336
352	728	1336
353	731	1335
354	734	1334
355	735	1331
356	736	1327
357	738	1323
358	740	1321
359	742	1320
360	744	1318
361	746	1316
362	749	1314
363	751	1312
364	752	1308
365	754	1306
366	756	1303
367	758	1301
368	759	1299
369	761	1296
370	763	1294
371	765	1291
372	766	1288
373	767	1284
374	768	1280
375	770	1278
376	773	1277
377	775	1275
378	776	1272
379	777	1269
380	779	1265
381	780	1262
382	781	1259
383	782	1255
384	783	1251
385	784	1248
386	785	1244
387	787	1241
388	788	1238
389	790	1235
390	791	1232
391	792	1229
392	794	1226
393	795	1222
394	796	1219
395	797	1215
396	798	1212
397	799	1208
398	800	1205
399	801	1202
400	802	1199
401	803	1195
402	804	1192
403	805	1188
404	806	1185
405	807	1182
406	808	1178
407	809	1175
408	811	1171
409	811	1168
410	812	1164
411	813	1161
412	814	1158
413	815	1154
414	816	1151
415	817	1147
416	818	1144
417	819	1141
418	820	1137
419	821	1134
420	822	1131
421	823	1128
422	824	1124
423	825	1121
424	826	1117
425	827	1114
426	828	1111
427	829	1108
428	830	1104
429	831	1101
430	832	1098
431	833	1095
432	834	1092
433	835	1089
434	836	1085
435	837	1082
436	837	1079
437	838	1076
438	839	1073
439	840	1070
440	841	1066
441	842	1063
442	843	1060
443	844	1058
444	845	1054
445	846	1051
446	847	1048
447	848	1045
448	849	1042
449	850	1039
450	851	1036
451	852	1033
452	853	1030
453	854	1027
454	855	1024
